NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E2934500003121,老人総合福祉施設あくなみ苑,奈良県安堵町大字岡崎33-1,,,要配慮者,34.608440839509,135.76743452357,
2,E2934500009111,安堵町立安堵中学校,奈良県安堵町大字窪田465-1,,,,34.598236355079,135.75864151032,
3,E2934500010111,安堵中央公園体育館,奈良県安堵町大字窪田628-1,1,,,34.597519821893,135.75749193201,
4,E2934500017111,安堵町文化観光館「四弁花」,奈良県安堵町大字東安堵1352-1,,,,34.604467167197,135.75756548153,
5,E2934500018111,安堵町立安堵小学校,奈良県安堵町大字東安堵1469-3,,,,34.603031041875,135.7559143606,
6,E2934500019111,安堵町交流館なでしこ,奈良県安堵町大字東安堵165-1,,,,34.617250256076,135.75761561285,
7,E2934500021121,特別養護老人ホームもちの木,奈良県安堵町大字東安堵218-1,,,要配慮者,34.615593153417,135.75857250499,
8,E2934500023111,総合センター「ひびき」,奈良県安堵町大字東安堵557-1,,,,34.610652824625,135.7573869686,
9,E2934500025111,安堵こども園,奈良県安堵町大字東安堵785,,,,34.608673622792,135.75414538624,
10,E2934500026111,安堵町福祉保健センター,奈良県安堵町大字東安堵853,,,,34.606893046707,135.75457235907,
11,E2934500027111,トーク安堵カルチャーセンター,奈良県安堵町大字東安堵879,,,,34.60666779996,135.75390487176,
12,E2921200001111,室生地域文化伝習展示施設（あさぎりホール）,奈良県宇陀市室生892,1,,,34.533947778071,136.03784410757,
13,E2921200002111,文化芸術活動体験交流施設（ふるさと元気村）,奈良県宇陀市室生下田口1112,1,,,34.520924994327,136.04623783462,
14,E2921200003111,向渕生活改善センター（やまびこホール）,奈良県宇陀市室生向渕3649,1,,,34.577332590188,135.99526522222,
15,E2921200004111,旧室生東小学校,奈良県宇陀市室生三本松2138,1,,,34.57278928921,136.02729511295,
16,E2921200005111,音楽の森ふれあい館（旧笠間小学校）,奈良県宇陀市室生上笠間444-1,1,,,34.611321052417,136.02935238888,
17,E2921200006111,蕨集会所・室生東児童館,奈良県宇陀市室生西谷152,1,,,34.571249,136.054003,
18,E2921200007111,西谷地区公民館,奈良県宇陀市室生西谷286,,,,34.568007907635,136.05179298021,
19,E2921200008111,多田地区公民館,奈良県宇陀市室生多田415,,,,34.595141312494,135.98146744662,
20,E2921200009111,室生小学校,奈良県宇陀市室生大野1912,1,,,34.563962267286,136.01319568961,
21,E2921200010111,室生中学校,奈良県宇陀市室生大野1962,,,,34.563597706226,136.01214615036,
22,E2921200011121,室生福祉保健交流センター（ぬく森の郷）,奈良県宇陀市室生大野3776-1,1,,要配慮者,34.556163383775,136.00178852331,
23,E2921200011111,室生福祉保健交流センター（ぬく森の郷）,奈良県宇陀市室生大野3776-1,1,,,34.556105952233,136.00178451373,
24,E2921200012111,室生人権交流センター・室生北児童館,奈良県宇陀市室生無山727-2,1,,,34.587479065661,135.97339983463,
25,E2921200025111,たかぎふるさと館,奈良県宇陀市榛原髙井612,1,,,34.507378230854,135.99311482886,
26,E2921200013111,榛原西小学校,奈良県宇陀市榛原下井足1061,1,,,34.521126853221,135.94667626643,
27,E2921200015111,宇陀高等学校,奈良県宇陀市榛原下井足210,,,,34.524502979764,135.95594942288,
28,E2921200016111,農林会館,奈良県宇陀市榛原下井足825,,,,34.520879265303,135.94803355215,
29,E2921200017111,伊那佐地区体育館,奈良県宇陀市榛原石田109,1,,,34.495106504003,135.9577084663,
30,E2921200019111,榛原東小学校,奈良県宇陀市榛原赤瀬190,1,,,34.545954023502,135.9646103414,
31,E2921200020111,榛原体育センター,奈良県宇陀市榛原長峯615-1,1,,,34.542710472986,135.97296406512,
32,E2921200022111,榛原小学校,奈良県宇陀市榛原萩原2145,1,,,34.532463129087,135.95408661387,
33,E2921200023111,榛原総合センター,奈良県宇陀市榛原萩原2610-1,1,,,34.532161170466,135.95741331974,
34,E2921200024111,榛原中学校,奈良県宇陀市榛原福地761,1,,,34.533778999403,135.96143821526,
35,E2921200026111,旧守道小学校,奈良県宇陀市大宇陀守道857-1,1,,,34.46942989013,135.95395696474,
36,E2921200027111,大宇陀中学校,奈良県宇陀市大宇陀拾生651,1,,,34.476859660136,135.93118265221,
37,E2921200028111,宇陀市文化会館,奈良県宇陀市大宇陀拾生89,1,,,34.475273850972,135.93243122439,
38,E2921200028112,大宇陀体育館,奈良県宇陀市大宇陀拾生89,1,,,34.476321923212,135.92821385368,
39,E2921200029111,大宇陀人権交流センター,奈良県宇陀市大宇陀小附1002,1,,,34.492842817504,135.92933028483,
40,E2921200030111,大宇陀小学校,奈良県宇陀市大宇陀西山72-2,1,,,34.482643245988,135.92872007872,
41,E2921200031111,日本教育学院高等学校（旧田原小学校）,奈良県宇陀市大宇陀田原727,1,,,34.445227210865,135.95374167379,
42,E2921200033111,大宇陀内原体育館,奈良県宇陀市大宇陀内原75-1,,,,34.495607635036,135.93098076568,
43,E2921200034111,旧野依小学校,奈良県宇陀市大宇陀野依1240,,,,34.500831766979,135.93166451991,
44,E2921200042111,宇賀志消防会館,奈良県宇陀市菟田野宇賀志177-1,1,,,34.459515,135.984891,
45,E2921200036111,菟田野中学校,奈良県宇陀市菟田野古市場1220,1,,,34.473234406995,135.96878386854,
46,E2921200037111,宇陀市人権交流センター,奈良県宇陀市菟田野古市場1401-1,1,,,34.475310803246,135.96451157791,
47,E2921200038111,菟田野小学校,奈良県宇陀市菟田野古市場672,1,,,34.469687461951,135.97444991837,
48,E2942500001111,王寺アリーナ,奈良県王寺町王寺1-1-1,1,,,34.59419109,135.7074478,
49,E2942500002111,やわらぎ会館,奈良県王寺町王寺2-1-18,1,,,34.594847511469,135.70604723182,
50,E2942500003111,白鳳短期大学,奈良県王寺町葛下1-7-17,1,,,34.59017836529,135.71328953504,
51,E2942500004111,地域交流センター,奈良県王寺町久度2-2-1-501,1,,,34.598075478884,135.70495943028,
52,E2942500006111,旧王寺北小学校（体育館）,奈良県王寺町舟戸3-7-18,1,,,34.591616505374,135.71256124681,
53,E2942500007111,王寺南義務教育学校　太子学舎（体育館）,奈良県王寺町太子2-1-30,1,,,34.581925876201,135.69238997258,
54,E2942500008111,藤井公民館,奈良県王寺町藤井2-216-4,,,,34.584658999174,135.68385718308,
55,E2942500009111,王寺南義務教育学校　畠田学舎（体育館）,奈良県王寺町畠田9-1703,1,,,34.572786576705,135.69458364034,
56,E2942500010121,文化福祉センター,奈良県王寺町畠田9-1708,,,要配慮者,34.573157486635,135.69605884025,
57,E2942500011111,王寺北義務教育学校（体育館）,奈良県王寺町本町1-20-45,1,,,34.59406678014,135.70318871975,
58,E2942500013111,王寺工業高等学校,奈良県王寺町本町3-6-1,,,,34.591493135318,135.70188906075,
59,E2942500014111,王寺町防災コミュニティセンター,奈良県王寺町本町4-645-1,1,,,34.582164209391,135.70213529976,
60,E2944300001112,桧皮蔵町会館,奈良県下市町大字阿知賀112-9,,,,34.375996382749,135.79101997212,
61,E2944300001111,児童館,奈良県下市町大字阿知賀112-9,,,,34.375996382749,135.79101997212,
62,E2944300002111,緑ヶ丘会館,奈良県下市町大字阿知賀1311-3,,,,34.379333904436,135.79571163327,
63,E2944300003111,コミュニティーセンター（阿知賀）,奈良県下市町大字阿知賀1821,,,,34.380381194913,135.79938117816,
64,E2944300004111,旧阿知賀小学校・幼稚園,奈良県下市町大字阿知賀2010,1,,,34.379300616931,135.80231636148,
65,E2944300005111,瀬ノ上会館,奈良県下市町大字阿知賀2660-2,,,,34.384141219818,135.80837783844,
66,E2944300006111,原野会館,奈良県下市町大字阿知賀383,,,,34.375203805596,135.79432078692,
67,E2944300007111,天神町会館,奈良県下市町大字阿知賀47,,,,34.376572329861,135.78984687353,
68,E2944300008111,峯山コミュニティーセンター,奈良県下市町大字阿知賀679-1,,,,34.370824684818,135.79437036091,
